ticker,publishedAt,headline,summary,source,category
PG,2026-08-04 17:00:00,Thorne Enters into Definitive Agreement to Be Acquired by Procter & Gamble,"Thorne, the leader in science-backed health and wellness solutions, today announced that it has entered into a definitive agreement to be acquired by The Procter & Gamble Company (NYSE: PG).",Yahoo,company
PG,2026-08-04 17:07:18,P&G Reportedly Set To Acquire Thorne In A $3.8B Deal – CEO Jejurikar Says Firm Is ‘Really Happy With The Asset’,Thorne went public in late 2021 at a $525 million valuation but was taken private by asset manager L Catterton in 2023 in a $680 million transaction.,Yahoo,company
PG,2026-08-04 17:15:09,"Procter & Gamble to acquire Thorne for $3.8 billion, CEO says","Investing.com -- Procter & Gamble Co. reached an agreement to acquire supplement maker Thorne for $3.8 billion, with the deal set to be announced later today.",Yahoo,company
PG,2026-08-04 17:31:35,P&G to acquire supplement brand Thorne for $3.8 billion,"The deal, set to close later this year, would add Thorne to P&G's existing supplements portfolio that includes Metamucil, Align Probiotic, and New Chapter",Yahoo,company
PG,2026-08-04 17:45:00,L Catterton Announces Sale of Thorne to The Procter & Gamble Company for $3.8 Billion,"L Catterton, the largest global consumer-focused investment firm, today announced that it has signed a definitive agreement to sell Thorne, a leader in science-backed health and wellness solutions, to The Procter & Gamble Company (NYSE: PG) for $3.8 billion in cash. This follows a successful partnership that accelerated the Company's growth and further strengthened its leadership in the wellness category.",Yahoo,company
PG,2026-08-04 17:50:54,"P&G to buy supplements maker Thorne for $3.8B, CEO says","Procter & Gamble is acquiring supplements maker Thorne for $3.8 billion, CEO Shailesh Jejurikar told CNBC.",Yahoo,company
PG,2026-08-04 18:04:27,"Procter & Gamble to Acquire Thorne for $3.8B, Expanding Personal Health Care Portfolio",The acquisition bolsters P&G's presence in the premium wellness space.,Yahoo,company
PG,2026-08-04 18:06:48,"VDC: The 2026 Staples Rotation Is Real, But GLP-1s Are Eating The Aisle, Hold","Vanguard Consumer Staples ETF (VDC) rated Hold: full valuation, 2.1% yield, GLP-1 demand headwinds, and pricey top holdingsâsee the key risks now.",SeekingAlpha,company
PG,2026-08-04 19:10:04,Which dow jones stocks are moving on Tuesday?,Curious about the dow jones stocks that are in motion on Tuesday? Join us as we explore the top movers within the dow jones index during today's session.,ChartMill,company
PG,2026-08-04 19:54:03,See how P&G's $3.8B deal for Thorne compares to its past acquisitions,So how does the new deal stack up to P&G’s biggest deals ever?,Yahoo,company
PG,2026-08-04 22:10:07,Procter & Gamble (PG) Agrees To Buy Thorne For $3.8 Billion,"Procter & Gamble (NYSE:PG) agreed to acquire Thorne, a science-focused wellness supplements company. The transaction values Thorne at US$3.8b and expands PG into premium health and wellness categories. The deal centers on vitamins, minerals, and supplements as an extension of PG's existing health portfolio. For investors tracking Procter & Gamble, this move pushes the company further into consumer health and wellness rather than relying only on traditional household and personal care...",Yahoo,company
PG,2026-08-04 23:43:28,"How Much Do You Really Need Invested to Replace a $100,000 Salary With Dividends?","Replacing a six-figure salary with dividends is a math problem first, and the capital requirement swings by more than a million dollars depending on one variable most investors treat as an afterthought.",Yahoo,company
PG,2026-08-05 09:10:04,"Dividends vs. an Annuity: Which Turns $675,000 Into More Monthly Income for Life?","Annuity payouts are the most competitive they have been in years, which makes the timing of this comparison unusually consequential for anyone sitting on a $675,000 nest egg and trying to decide which structure actually puts more money in their pocket for life.",Yahoo,company
PG,2026-08-05 13:00:00,Stagwell (STGW) Appoints Beth J. Kaplan to Board of Directors,"Kaplan joins Stagwell's Board of Directors as the company builds on significant new business momentum and accelerated growth led by digital transformation NEW YORK CITY, NY / ACCESS Newswire / August 5, 2026 / Stagwell(NASDAQ:STGW), the global challenger ...",Yahoo,company
PG,2026-08-05 15:14:42,A $3.8 Billion Reason Why Procter & Gamble Stock Is in Focus Today,Procter & Gamble stock rallies on $3.8 billion acquisition of Thorne. Here’s what the deal means for PG shares.,Yahoo,company
PG,2026-08-05 21:11:18,The Dividend Income Illusion: Why Your 8% Yield Is Really Paying You 5%,"An 8% yield looks like a shortcut to $80,000 a year without selling a single share, but the brokerage account tells a different story than the headline number does.",Yahoo,company
PG,2026-08-06 07:57:00,3 Microcaps for Your Watchlist,"NHTC, HCWC, and NAII sell into the growing nutrition and wellness space.",Yahoo,company
PG,2026-08-06 11:00:38,5 Solid Dividend Stocks to Buy in August,"With the 10-year Treasury yield near 4.70%, dividend stocks face a real test of relevance, and only a handful of names have the streak length and earnings power to still make the cut right now.",Yahoo,company
PG,2026-08-06 16:40:04,Thursday's session: top gainers and losers in the dow jones index,Curious about the dow jones stocks that are in motion on Thursday? Join us as we explore the top movers within the dow jones index during today's session.,ChartMill,company
PG,2026-08-06 18:32:21,Procter & Gamble Buys Supplement Brand Thorne — People Have Thoughts,A lot of the chatter centers on concerns about quality and safety.,Yahoo,company
PG,2026-08-06 19:00:02,Jim Cramer explains why Ralph Lauren remains one of retail's best stocks,"CNBC's Cramer said RL's outperformance stems from a strategy centered on elevating the brand, expanding its core business, and winning in key global markets.",CNBC,company
PG,2026-08-06 20:01:00,PureCycle Technologies Reports Second Quarter 2026 Results,"First P&G commercial resin deliveries began, with select Downy detergent caps now in commercial productionRevenue of $4.5 million, up approximately 173% year-over-year and a sixth consecutive quarter of sequential growthNew Jersey Department of Environmental Protection approved PureFive® resin as post-consumer recycled contentOn-site compounding now operating, giving PureCycle the ability to deliver product meeting customers' unique specificationsInitial Shipments of PureFive® resin made in thir",Yahoo,company
PG,2026-08-07 05:00:46,SoFi and Visa Earnings Point to Consumer Confidence,"Earnings season is showing that consumers are still spending and paying their bills, as indicated by SoFi and Visa.",Yahoo,company
PG,2026-08-07 11:52:56,Argus Research Downgrades Procter & Gamble to Hold,Argus Research  analyst Taylor Conrad   downgrades Procter &amp; Gamble (NYSE:PG) from Buy to Hold.,Benzinga,company
PG,2026-08-07 13:12:19,"Deal Dispatch: Bending Spoons Acquires Airtable, Bain Capital Buys Gong Cha Global, Salad and Go Bankruptcy","Major M&amp;A deals include Visa buys BioCatch, Apollo Global nabs EasyJet, QVC emerges from Chapter 11 bankruptcy.",Benzinga,company
PG,2026-08-07 13:45:22,"SpaceX initiation, Apple downgrade among today's top calls on Wall Street","SpaceX initiation, Apple downgrade among today's top calls on Wall Street",Yahoo,company
PG,2026-08-07 17:54:38,"Dividend Champion, Contender, And Challenger Highlights: Week Of August 9","Weekly dividend activity roundup for Dividend Champions, Contenders & Challengersâsee dividend changes, upcoming ex-dividend dates and pay dates here.",SeekingAlpha,company
PG,2026-08-07 20:31:00,Argus Research Downgrades Procter & Gamble (PG),,Fintel,company
PG,2026-08-07 23:05:56,The 4% Rule vs. a Dividend Paycheck: Which Makes $1.25 Million Last Longer?,"A $1.25 million nest egg can fund a very different retirement depending on one number: your withdrawal yield. The gap between a conservative dividend portfolio and an aggressive one swings your annual income by tens of thousands of dollars, but the safer-looking choice does not always win.",Yahoo,company
PG,2026-08-07 23:58:48,Procter & Gamble (PG) Q4 2026 Earnings Call Transcript,P&G navigates $1B cost headwind while guiding 1-3% organic sales growth for fiscal 2027.,Yahoo,company
PG,2026-08-08 01:35:26,"The Portfolio Blueprint for Building $50,000 a Month in Dividend Income","Chasing a $50,000 monthly dividend stream sounds like a math problem, but the yield you pick determines whether your portfolio funds four decades of freedom or quietly cannibalizes itself while the checks keep arriving.",Yahoo,company
PG,2026-08-08 09:30:20,BofA Sounds Alarm On Extreme Bullishness. These ETFs Offer a Defensive Play,Investors can stay in equities while reducing risk by rotating from high-beta AI stocks into defensive sectors.,Benzinga,company
PG,2026-08-08 16:00:53,"Why PG, JNJ, and KO Could Surprise Investors Next Year","Consumer sentiment is flashing recession warnings, yet three blue-chip dividend legends are quietly building cases for returns that would shock most defensive investors heading into 2027.",Yahoo,company
PG,2026-08-08 21:37:08,How Much Do You Need Invested to Out-Earn the Average Social Security Check With Dividends?,"Replicating a Social Security check with dividends sounds straightforward until you realize the yield you chase determines whether your income grows, stalls, or quietly disappears over the next two decades.",Yahoo,company
PG,2026-08-09 02:14:47,"How a 52-Year-Old Can Turn $425,000 Into a Monthly Paycheck Machine by 62","A $425,000 nest egg can generate wildly different monthly paychecks depending on where you put it, but chasing the biggest number often destroys the very asset you need to last through your 70s.",Yahoo,company
PG,2026-08-09 06:12:37,What Could Procter & Gamble (PG) Chairman Change Mean After Jon Moeller Retires?,"Procter & Gamble (NYSE:PG) appointed Shailesh Jejurikar as Chairman of the Board, succeeding Jon R. Moeller following his retirement after 38 years at the company. The board transition shifts leadership at the top of Procter & Gamble’s governance structure as Moeller steps down from his role as Executive Chairman. Investors are watching the handover closely, given the potential long term implications for company culture, operations, and board oversight. For readers tracking long term...",Yahoo,company
PG,2026-08-09 13:00:33,Wall Street Is Betting P&G’s Dividend Growth Ends. The Cash Flow Suggests That’s Not Happening,"Procter & Gamble just logged its 70th consecutive dividend increase, yet Wall Street has turned skeptical, pointing to tariff costs, margin compression, and guidance at the lower end of its range. The cash flow statement is telling a completely different story.",Yahoo,company
PG,2026-08-09 18:35:14,P&G’s (PG) $3.8B Wellness Deal Collides With a Costly Outlook,"Procter & Gamble (NYSE:PG) is buying its way into wellness. On August 4, L Catterton announced it had signed a definitive agreement to sell Thorne, a science-backed health and wellness brand, to Procter & Gamble for $3.8 billion in cash. The deal lands a day after an August 3 analysis flagged a fiscal 2027 earnings […]",Yahoo,company
PG,2026-08-09 19:35:00,This Dividend Stock's Moat Is as Wide as It Gets. 3 Reasons to Buy and Hold Forever.,This consumer staples Dividend King is down nearly 20% since its 2024 high despite its industry-leading business.,Yahoo,company
PG,2026-08-10 09:35:00,I've Been Writing About Procter & Gamble Stock for Years. Here's Why My Conviction Has Never Been Higher.,"This dividend royalty keeps proving that steady execution, smart innovation, and shareholder-friendly capital allocation are a winning long-term formula.",Yahoo,company
PG,2026-08-10 11:50:00,Looking to Generate Passive Income From Stocks? 3 Unstoppable Dividend Stocks to Buy Now.,"These blue-chip consumer companies -- Procter & Gamble, McDonald's, and Coca-Cola -- offer reliable, growing dividends backed by resilient businesses and strong cash flow.",Yahoo,company
PG,2026-08-10 13:00:51,3 Boring but Brilliant Stocks to Buy in August,"While the rest of the market chased AI headlines and flinched at every tariff rumor, three famously unglamorous stocks kept raising their dividends and quietly compounding wealth. Here is why August may be the right moment to pay attention.",Yahoo,company
PG,2026-08-10 13:45:39,"We Said These 4 Dividend Aristocrats Could Soar. Here’s How They Did, Plus 3 New Picks.","Four Dividend Aristocrats were flagged as stealth growth plays a year ago, and the results cut sharply in two directions. See which names delivered and which stumbled, plus three fresh picks where the dividend coverage story is quietly getting stronger.",Yahoo,company
PG,2026-08-10 17:34:13,188-year-old Dividend King just unlocked unexpected growth engine,"There are stocks you own for growth. There are stocks you own for income. And then there are the rare ones where a business that appeared to be doing the slow, reliable work of a dividend compounder suddenly shows you something you were not expecting. Procter and Gamble has done exactly that with ...",Yahoo,company
PG,2026-08-11 03:10:28,"How a 65-Year-Old Turned a $950,000 401(k) Rollover Into a $4,500 Monthly Paycheck Without Buying an Annuity","Pulling $54,000 a year from a $950,000 rollover IRA sounds like a math problem, but the real trap is hidden in the yield tier you choose and what it quietly does to your principal over time.",Yahoo,company
